plot_wexp,profile_wexp,country_name,profile_wexp_plot,GDP_capita
2,1,Vietnam,0,4717
7,1.134533,Vietnam,13.45329,4717
12,1.169659,Vietnam,16.96587,4717
17,1.176452,Vietnam,17.6452,4717
22,1.2008,Vietnam,20.07999,4717
27,1.218065,Vietnam,21.80647,4717
32,1.221813,Vietnam,22.18134,4717
37,1.128691,Vietnam,12.86908,4717
2,1,Uruguay,0,17905
7,1.28805,Uruguay,28.80503,17905
12,1.538059,Uruguay,53.8059,17905
17,1.68574,Uruguay,68.57405,17905
22,1.748409,Uruguay,74.84086,17905
27,1.828757,Uruguay,82.87566,17905
32,1.770696,Uruguay,77.0696,17905
37,1.744135,Uruguay,74.41348,17905
2,1,United States,0,49781
7,1.366187,United States,36.61866,49781
12,1.632721,United States,63.27211,49781
17,1.812479,United States,81.24795,49781
22,1.88714,United States,88.71397,49781
27,1.932667,United States,93.26672,49781
32,1.923949,United States,92.39485,49781
37,1.880744,United States,88.07443,49781
2,1,United Kingdom,0,36590
7,1.418414,United Kingdom,41.84136,36590
12,1.703366,United Kingdom,70.33664,36590
17,1.836482,United Kingdom,83.64822,36590
22,1.850655,United Kingdom,85.06552,36590
27,1.775344,United Kingdom,77.53442,36590
32,1.72969,United Kingdom,72.96897,36590
37,1.61452,United Kingdom,61.45197,36590
2,1,South Korea,0,31327
7,1.269007,South Korea,26.9007,31327
12,1.679509,South Korea,67.9509,31327
17,1.788847,South Korea,78.88467,31327
22,1.802764,South Korea,80.27641,31327
27,1.86605,South Korea,86.60501,31327
32,1.725334,South Korea,72.53343,31327
37,1.498065,South Korea,49.80649,31327
2,1,Peru,0,10379
7,1.291122,Peru,29.11223,10379
12,1.40734,Peru,40.73396,10379
17,1.512814,Peru,51.28138,10379
22,1.614647,Peru,61.46467,10379
27,1.679727,Peru,67.97273,10379
32,1.588256,Peru,58.82557,10379
37,1.477863,Peru,47.78627,10379
2,1,Mexico,0,15730
7,1.219539,Mexico,21.95387,15730
12,1.354379,Mexico,35.43788,15730
17,1.398183,Mexico,39.81834,15730
22,1.411124,Mexico,41.11242,15730
27,1.440191,Mexico,44.01912,15730
32,1.343717,Mexico,34.37165,15730
37,1.235091,Mexico,23.50913,15730
2,1,Jamaica,0,8481
7,1.16145,Jamaica,16.14499,8481
12,1.271016,Jamaica,27.10165,8481
17,1.323833,Jamaica,32.38327,8481
22,1.324839,Jamaica,32.48392,8481
27,1.374403,Jamaica,37.44032,8481
32,1.290415,Jamaica,29.04147,8481
37,1.263506,Jamaica,26.35058,8481
2,1,Indonesia,0,8870
7,1.245429,Indonesia,24.5429,8870
12,1.411936,Indonesia,41.19357,8870
17,1.596014,Indonesia,59.60145,8870
22,1.801673,Indonesia,80.16733,8870
27,1.960266,Indonesia,96.02657,8870
32,2.02746,Indonesia,102.746,8870
37,1.913595,Indonesia,91.35952,8870
2,1,India,0,4686
7,1.166547,India,16.65474,4686
12,1.178097,India,17.80967,4686
17,1.225782,India,22.57822,4686
22,1.216155,India,21.61547,4686
27,1.231059,India,23.10593,4686
32,1.240587,India,24.05869,4686
37,1.255333,India,25.53333,4686
2,1,Guatemala,0,6799
7,1.158133,Guatemala,15.81326,6799
12,1.18397,Guatemala,18.397,6799
17,1.293087,Guatemala,29.30874,6799
22,1.136482,Guatemala,13.64822,6799
27,1.091366,Guatemala,9.136605,6799
32,1.217926,Guatemala,21.79261,6799
37,1.170796,Guatemala,17.07958,6799
2,1,Germany,0,42143
7,1.578243,Germany,57.82429,42143
12,1.848144,Germany,84.81436,42143
17,2.006338,Germany,100.6338,42143
22,2.053455,Germany,105.3455,42143
27,2.068344,Germany,106.8344,42143
32,2.104283,Germany,110.4283,42143
37,2.079725,Germany,107.9725,42143
2,1,France,0,37325
7,1.307231,France,30.72311,37325
12,1.472578,France,47.25779,37325
17,1.573767,France,57.37671,37325
22,1.660347,France,66.03471,37325
27,1.70344,France,70.34401,37325
32,1.761028,France,76.10278,37325
37,1.753963,France,75.39626,37325
2,1,Chile,0,20266
7,1.251864,Chile,25.18644,20266
12,1.37084,Chile,37.08404,20266
17,1.435443,Chile,43.54426,20266
22,1.449662,Chile,44.96623,20266
27,1.516111,Chile,51.61106,20266
32,1.457428,Chile,45.74277,20266
37,1.375955,Chile,37.59547,20266
2,1,Canada,0,41567
7,1.372524,Canada,37.25235,41567
12,1.593882,Canada,59.38817,41567
17,1.711425,Canada,71.14253,41567
22,1.780823,Canada,78.0823,41567
27,1.812068,Canada,81.20676,41567
32,1.789979,Canada,78.99789,41567
37,1.687051,Canada,68.70514,41567
2,1,Brazil,0,14831
7,1.32195,Brazil,32.19503,14831
12,1.50362,Brazil,50.362,14831
17,1.643341,Brazil,64.33408,14831
22,1.718359,Brazil,71.83588,14831
27,1.768868,Brazil,76.88684,14831
32,1.698431,Brazil,69.84308,14831
37,1.600118,Brazil,60.0118,14831
2,1,Bangladesh,0,2579
7,1.08716,Bangladesh,8.715987,2579
12,1.179912,Bangladesh,17.99118,2579
17,1.192171,Bangladesh,19.2171,2579
22,1.185076,Bangladesh,18.50765,2579
27,1.245965,Bangladesh,24.5965,2579
32,1.241901,Bangladesh,24.19013,2579
37,1.181036,Bangladesh,18.10355,2579
2,1,Australia,0,41763
7,1.51338,Australia,51.33798,41763
12,1.746801,Australia,74.68012,41763
17,1.779269,Australia,77.92695,41763
22,1.806851,Australia,80.68508,41763
27,1.778981,Australia,77.89812,41763
32,1.796494,Australia,79.64942,41763
37,1.809881,Australia,80.98806,41763
